,Variable,Model,Estimate,SE,t,Pt,Sig
geologyMiddle-Tertiary Granodioritic Laccoliths...53,,Height skew,0.045041475,0.038811425,1.160521022,0.245852507,
geologyWasatch Formation (Claystone-Shale)...54,,Height skew,-0.037491211,0.057770263,-0.648970761,0.516365757,
(Intercept)...55,,Pine density,22.20009291,2.749027346,8.075617343,7.67E-16,***
geologyGlacial Drift...56,,Pine density,-9.615715018,3.199528544,-3.005353722,0.002660736,***
geologyGothic Formation (Sand/Shale)...57,,Pine density,-21.85807653,17.7427613,-1.231943335,0.218005534,
geologyLandslide Deposits...58,,Pine density,-0.254412808,7.746526682,-0.032842178,0.973801242,
geologyMancos Shale...59,,Pine density,-5.396946893,2.662684353,-2.026881965,0.042706739,
geologyMaroon Formation (Red Sand/Mud/Conglomerate)...60,,Pine density,4.62420104,2.911025774,1.588512572,0.112208987,
geologyMesa Verde Formation (Sand/Silt/Coal)...61,,Pine density,1.778704864,2.873136946,0.619081129,0.535880092,
geologyMiddle-Tertiary Granodioritic Laccoliths...62,,Pine density,2.192603956,2.706359036,0.810167434,0.417867433,
geologyWasatch Formation (Claystone-Shale)...63,,Pine density,-0.22689238,3.696197172,-0.061385356,0.951053809,
(Intercept)...64,,Spruce density,81.58301282,2.645702274,30.83605197,8.86E-203,***
geologyGlacial Drift...65,,Spruce density,0.257070623,3.016537581,0.085220428,0.932087235,
geologyGothic Formation (Sand/Shale)...66,,Spruce density,-29.09587583,10.65607112,-2.730450604,0.006331822,***
geologyLandslide Deposits...67,,Spruce density,1.82257478,6.639958293,0.274485878,0.783714859,
geologyMancos Shale...68,,Spruce density,-7.773021775,2.311220602,-3.363167397,0.000772374,***
geologyMaroon Formation (Red Sand/Mud/Conglomerate)...69,,Spruce density,-7.466233104,2.782406866,-2.683372154,0.007296007,***
geologyMesa Verde Formation (Sand/Silt/Coal)...70,,Spruce density,-8.19097833,2.576055391,-3.179659241,0.001477341,***
geologyMiddle-Tertiary Granodioritic Laccoliths...71,,Spruce density,-8.067739377,2.334076778,-3.456501282,0.000548682,***
geologyWasatch Formation (Claystone-Shale)...72,,Spruce density,-10.00098823,3.373584208,-2.964499361,0.003036304,***
